Variable1,Variable2,Variable3,Variable4,Variable5,VariableTarget
132.01,347.92,4,1.00,45791.05,b1_OK
132.00,352.73,19,0.95,44019.41,b1_OK
131.92,803.92,128,-0.62,-66061.73,b1_REVISAR
131.86,754.14,37,0.79,78539.51,b1_REVISAR
131.85,512.34,118,-0.48,-32371.08,b1_REVISAR
131.83,634.53,119,-0.50,-41452.63,b1_REVISAR
131.68,387.25,30,0.86,44040.96,b1_OK
131.64,273.38,13,0.97,34974.10,b1_OK
131.62,567.66,74,0.27,19874.76,b1_REVISAR
131.47,334.27,38,0.78,34406.00,b1_REVISAR
131.44,681.76,120,-0.51,-45874.07,b1_REVISAR
131.34,373.23,10,0.98,48268.36,b1_OK
131.31,917.08,67,0.38,45184.31,b1_REVISAR
131.11,323.64,33,0.84,35492.81,b1_OK
130.99,824.53,109,-0.33,-35969.77,b1_REVISAR
130.92,772.39,115,-0.44,-44079.12,b1_REVISAR
130.83,711.81,133,-0.69,-64464.06,b1_REVISAR
130.66,386.82,8,0.99,49924.97,b1_OK
130.65,265.46,9,0.99,34231.54,b1_OK
130.62,292.23,16,0.96,36508.13,b1_OK
130.50,288.10,35,0.81,30450.21,b1_REVISAR
130.48,352.28,10,0.98,45194.91,b1_OK
130.39,375.54,5,1.00,48770.31,b1_OK
130.37,444.10,22,0.93,53629.06,b1_OK
130.31,693.05,122,-0.54,-48735.87,b1_REVISAR
130.09,917.63,90,-0.01,-1103.23,b1_REVISAR
129.98,259.72,25,0.90,30424.75,b1_OK
129.88,295.10,69,0.36,13755.28,b1_REVISAR
129.85,427.78,23,0.91,50773.02,b1_OK
129.84,468.11,118,-0.48,-29370.45,b1_REVISAR
129.80,912.61,125,-0.58,-69077.25,b1_REVISAR
129.78,360.24,5,1.00,46568.36,b1_OK
129.73,699.67,106,-0.29,-25899.31,b1_REVISAR
129.61,761.68,134,-0.70,-69439.80,b1_REVISAR
129.52,274.28,23,0.92,32534.65,b1_OK
129.46,347.24,19,0.94,42421.12,b1_OK
129.40,853.33,67,0.38,41458.70,b1_REVISAR
129.38,369.89,20,0.93,44740.81,b1_OK
129.38,530.05,45,0.70,48280.81,b1_REVISAR
129.37,478.09,67,0.39,24183.13,b1_REVISAR
129.21,300.91,20,0.94,36408.52,b1_OK
129.11,266.93,15,0.96,33200.60,b1_OK
129.09,328.71,14,0.97,41051.41,b1_OK
129.02,289.89,99,-0.16,-6039.61,b1_REVISAR
128.98,250.25,19,0.94,30461.89,b1_OK
128.98,566.89,128,-0.62,-45078.60,b1_REVISAR
128.96,366.23,16,0.96,45398.94,b1_OK
128.93,447.22,6,0.99,57278.41,b1_OK
128.91,262.85,8,0.99,33495.39,b1_OK
128.89,997.12,120,-0.51,-65972.39,b1_REVISAR
128.88,420.16,10,0.98,53219.66,b1_OK
128.86,806.90,40,0.76,79302.26,b1_REVISAR
128.85,379.26,28,0.88,43067.96,b1_OK
128.85,969.73,103,-0.23,-28979.67,b1_REVISAR
128.84,322.88,25,0.90,37567.17,b1_OK
128.83,910.67,84,0.10,12087.19,b1_REVISAR
128.79,252.32,123,-0.54,-17683.01,b1_REVISAR
128.73,298.12,28,0.88,33593.15,b1_OK
128.71,247.75,10,0.98,31361.86,b1_OK
128.71,258.33,118,-0.48,-15873.42,b1_REVISAR
128.70,336.79,19,0.94,40918.89,b1_OK
128.63,390.70,15,0.97,48538.49,b1_OK
128.62,698.58,42,0.73,65828.20,b1_REVISAR
128.58,854.62,101,-0.21,-22576.19,b1_REVISAR
128.42,270.85,34,0.82,28590.06,b1_OK
128.33,287.51,4,1.00,36794.68,b1_OK
128.29,791.28,117,-0.46,-46537.80,b1_REVISAR
128.19,853.32,105,-0.26,-28489.62,b1_REVISAR
127.77,275.35,68,0.36,12699.70,b1_REVISAR
127.76,395.56,92,-0.04,-2183.68,b1_REVISAR
127.73,666.57,109,-0.33,-27907.21,b1_REVISAR
127.69,413.03,50,0.64,33605.63,b1_REVISAR
127.56,338.54,14,0.97,41854.27,b1_OK
127.53,309.53,10,0.98,38824.60,b1_OK
127.46,434.44,21,0.93,51603.15,b1_OK
127.34,423.03,4,1.00,53713.16,b1_OK
127.26,361.58,116,-0.45,-20492.37,b1_REVISAR
127.16,284.25,24,0.91,32937.86,b1_OK
127.12,412.28,21,0.93,48743.30,b1_OK
127.05,493.87,73,0.28,17546.28,b1_REVISAR
127.00,330.79,16,0.96,40292.73,b1_OK
126.98,309.63,27,0.89,35017.30,b1_OK
126.94,247.24,35,0.81,25503.28,b1_REVISAR
126.90,355.96,24,0.91,41084.91,b1_OK
126.89,319.19,2,1.00,40472.01,b1_OK
126.77,277.54,19,0.94,33103.86,b1_OK
126.66,904.52,48,0.66,75250.91,b1_REVISAR
126.62,396.92,84,0.10,5166.20,b1_REVISAR
126.61,485.56,68,0.37,22460.50,b1_REVISAR
126.60,378.40,3,1.00,47822.72,b1_OK
126.57,413.31,55,0.57,30003.11,b1_REVISAR
126.54,283.46,91,-0.02,-853.59,b1_REVISAR
126.51,889.66,131,-0.66,-73869.68,b1_REVISAR
126.49,338.46,17,0.96,40934.65,b1_OK
126.48,377.44,14,0.97,46119.58,b1_OK
126.45,345.17,2,1.00,43618.39,b1_OK
126.22,646.82,66,0.40,32578.31,b1_REVISAR
126.20,413.79,119,-0.49,-25785.30,b1_REVISAR
126.13,889.19,100,-0.18,-20330.58,b1_REVISAR
126.06,916.28,82,0.12,14328.99,b1_REVISAR
125.97,850.07,40,0.76,81822.73,b1_REVISAR
125.86,734.12,103,-0.24,-22103.49,b1_REVISAR
125.78,318.55,3,1.00,39977.32,b1_OK
125.68,813.73,49,0.64,65897.47,b1_REVISAR
125.67,380.85,21,0.93,44412.13,b1_OK
125.67,348.83,69,0.35,15347.92,b1_REVISAR
125.64,284.59,33,0.83,29805.26,b1_OK
125.54,813.20,108,-0.31,-32116.66,b1_REVISAR
125.53,346.14,20,0.93,40586.54,b1_OK
125.51,279.01,9,0.99,34545.96,b1_OK
125.50,306.44,26,0.90,34451.79,b1_OK
125.47,365.85,15,0.96,44293.07,b1_OK
125.39,919.43,52,0.61,70713.41,b1_REVISAR
125.36,731.54,94,-0.08,-7190.11,b1_REVISAR
125.29,305.68,25,0.90,34428.50,b1_OK
125.23,359.58,16,0.96,43264.34,b1_OK
125.15,319.78,113,-0.39,-15749.82,b1_REVISAR
125.14,708.58,37,0.80,70667.51,b1_REVISAR
125.05,377.30,13,0.97,45868.70,b1_OK
124.94,243.43,78,0.20,6111.15,b1_REVISAR
124.93,858.86,88,0.02,2253.98,b1_REVISAR
124.73,280.64,14,0.97,33879.01,b1_OK
124.61,820.84,50,0.63,64822.73,b1_REVISAR
124.58,445.58,8,0.99,54858.81,b1_OK
124.56,260.65,20,0.94,30478.40,b1_OK
124.45,281.68,16,0.96,33659.18,b1_OK
124.45,497.67,86,0.07,4104.09,b1_REVISAR
124.40,322.08,47,0.68,27047.20,b1_REVISAR
124.38,338.80,16,0.96,40355.83,b1_OK
124.37,585.32,125,-0.59,-42708.15,b1_REVISAR
124.35,423.11,9,0.99,51869.02,b1_OK
124.28,389.38,123,-0.55,-26527.31,b1_REVISAR
124.26,839.33,45,0.70,73306.00,b1_REVISAR
124.21,336.84,52,0.61,25504.12,b1_REVISAR
124.21,471.03,82,0.13,7428.13,b1_REVISAR
124.21,409.41,123,-0.55,-27904.29,b1_REVISAR
123.96,375.52,32,0.85,39467.13,b1_OK
123.82,831.00,87,0.04,4182.48,b1_REVISAR
123.80,320.30,32,0.84,33313.74,b1_OK
123.65,395.06,64,0.43,20804.11,b1_REVISAR
123.58,399.40,80,0.16,7961.60,b1_REVISAR
123.57,856.74,110,-0.35,-36582.68,b1_REVISAR
123.52,268.16,105,-0.27,-9038.40,b1_REVISAR
123.51,302.15,7,0.99,37022.24,b1_OK
123.43,335.00,9,0.99,40822.91,b1_OK
123.40,720.59,62,0.46,40620.90,b1_REVISAR
123.36,995.41,67,0.39,47576.57,b1_REVISAR
123.34,251.65,4,1.00,30950.67,b1_OK
123.25,369.16,33,0.83,37855.91,b1_OK
123.18,320.39,11,0.98,38628.14,b1_OK
123.18,267.82,8,0.99,32620.31,b1_OK
123.18,995.05,103,-0.24,-29032.66,b1_REVISAR
123.10,410.96,30,0.86,43657.88,b1_OK
123.08,250.07,8,0.99,30435.04,b1_OK
122.99,860.52,130,-0.64,-68231.67,b1_REVISAR
122.96,905.63,111,-0.37,-41262.41,b1_REVISAR
122.90,358.95,70,0.33,14550.47,b1_REVISAR
122.89,780.14,125,-0.58,-55772.87,b1_REVISAR
122.85,759.96,76,0.24,22060.19,b1_REVISAR
122.79,565.66,51,0.62,42859.15,b1_REVISAR
122.78,736.96,96,-0.12,-10838.30,b1_REVISAR
122.69,287.71,3,1.00,35220.53,b1_OK
122.68,633.74,67,0.39,30224.88,b1_REVISAR
122.50,373.90,89,0.01,322.85,b1_REVISAR
122.47,376.25,21,0.93,42745.51,b1_OK
122.45,515.93,85,0.07,4572.28,b1_REVISAR
122.41,286.52,20,0.94,32814.71,b1_OK
122.36,558.84,80,0.17,11597.78,b1_REVISAR
122.34,349.25,10,0.98,41987.89,b1_OK
122.19,318.19,16,0.96,37354.45,b1_OK
122.15,475.13,54,0.58,33691.50,b1_REVISAR
122.14,401.97,20,0.94,45950.37,b1_OK
122.10,533.06,56,0.55,35722.78,b1_REVISAR
121.97,409.74,12,0.97,48711.83,b1_OK
121.97,421.96,38,0.79,40538.04,b1_REVISAR
121.95,298.33,25,0.90,32850.01,b1_OK
121.93,254.71,97,-0.13,-4042.03,b1_REVISAR
121.92,602.18,117,-0.47,-34184.15,b1_REVISAR
121.87,437.77,128,-0.63,-33399.96,b1_REVISAR
121.87,752.40,76,0.23,21199.91,b1_REVISAR
121.85,415.69,19,0.95,47868.35,b1_OK
121.83,480.56,120,-0.51,-29925.38,b1_REVISAR
121.78,336.13,17,0.95,39015.38,b1_OK
121.76,298.81,53,0.60,21849.62,b1_REVISAR
121.75,869.93,114,-0.41,-43621.93,b1_REVISAR
121.49,793.00,71,0.33,31360.66,b1_REVISAR
121.48,292.54,17,0.95,33859.92,b1_OK
121.27,411.82,5,1.00,49712.88,b1_OK
121.15,328.47,24,0.91,36300.75,b1_OK
121.04,288.72,33,0.83,28981.71,b1_OK
121.01,651.93,45,0.70,55403.96,b1_REVISAR
120.89,805.27,61,0.48,47029.93,b1_REVISAR
120.88,381.22,46,0.69,31860.99,b1_REVISAR
120.76,272.05,22,0.93,30408.42,b1_OK
120.71,887.23,35,0.82,87538.52,b1_REVISAR
120.63,264.27,18,0.95,30146.71,b1_OK
120.60,322.74,13,0.97,37881.48,b1_OK
120.60,400.58,110,-0.36,-17230.18,b1_REVISAR
120.60,286.15,71,0.32,11087.82,b1_REVISAR
120.52,782.88,55,0.56,53050.76,b1_REVISAR
120.50,880.30,61,0.48,50634.82,b1_REVISAR
120.31,262.30,21,0.93,29324.29,b1_OK
120.31,384.32,4,1.00,46107.63,b1_OK
120.30,425.75,11,0.98,50237.31,b1_OK
120.29,769.20,121,-0.52,-47871.59,b1_REVISAR
120.25,402.54,25,0.91,43822.71,b1_OK
120.20,401.26,23,0.92,44148.49,b1_OK
120.18,355.22,27,0.89,37955.87,b1_OK
120.12,369.54,13,0.97,43103.92,b1_OK
120.05,640.08,103,-0.23,-17492.53,b1_REVISAR
120.03,635.32,126,-0.59,-45005.63,b1_REVISAR
119.59,532.18,123,-0.55,-35287.16,b1_REVISAR
119.46,709.21,100,-0.18,-15258.01,b1_REVISAR
119.34,346.60,14,0.97,40065.04,b1_OK
119.31,927.14,121,-0.52,-57421.78,b1_REVISAR
119.27,772.40,41,0.75,69323.69,b1_REVISAR
119.20,298.48,33,0.84,29778.70,b1_OK
119.20,703.21,38,0.78,65456.37,b1_REVISAR
119.14,422.18,5,1.00,50068.09,b1_OK
119.14,919.94,92,-0.05,-5110.03,b1_REVISAR
119.12,283.13,6,0.99,33481.76,b1_OK
118.87,341.19,18,0.95,38422.09,b1_OK
118.82,371.95,17,0.95,42112.51,b1_OK
118.80,451.75,26,0.90,48145.13,b1_OK
118.65,325.25,59,0.51,19564.66,b1_REVISAR
118.58,338.95,79,0.18,7331.35,b1_REVISAR
118.51,483.08,125,-0.58,-33201.26,b1_REVISAR
118.50,380.87,17,0.96,43149.31,b1_OK
118.49,357.42,13,0.97,41164.13,b1_OK
118.47,333.41,17,0.95,37646.02,b1_OK
118.43,919.32,39,0.78,84600.39,b1_REVISAR
118.41,295.44,5,1.00,34812.33,b1_OK
118.33,296.35,32,0.84,29469.45,b1_OK
118.33,460.62,53,0.60,32485.33,b1_REVISAR
118.18,384.05,9,0.99,44763.68,b1_OK
118.09,277.83,74,0.27,9008.27,b1_REVISAR
118.01,383.01,28,0.88,39756.84,b1_OK
118.00,944.93,72,0.31,34193.22,b1_REVISAR
117.99,284.47,94,-0.08,-2696.41,b1_REVISAR
117.71,452.19,95,-0.09,-5022.83,b1_REVISAR
117.70,351.79,13,0.97,40206.56,b1_OK
117.67,271.34,21,0.93,29745.54,b1_OK
117.66,902.97,93,-0.07,-7014.74,b1_REVISAR
117.65,401.02,15,0.96,45384.71,b1_OK
117.52,491.47,63,0.45,25754.70,b1_REVISAR
117.52,286.40,100,-0.18,-6195.00,b1_REVISAR
117.25,374.93,15,0.96,42340.71,b1_OK
117.25,269.15,14,0.97,30486.47,b1_OK
117.24,291.00,15,0.96,32809.36,b1_OK
117.23,366.00,25,0.90,38664.82,b1_OK
117.22,332.16,6,0.99,38722.91,b1_OK
117.14,404.55,16,0.96,45487.69,b1_OK
117.03,509.06,126,-0.59,-35324.73,b1_REVISAR
116.90,719.87,71,0.33,27366.73,b1_REVISAR
116.84,275.99,11,0.98,31643.80,b1_OK
116.82,817.90,64,0.44,41741.93,b1_REVISAR
116.79,306.96,25,0.90,32411.25,b1_OK
116.77,404.80,23,0.92,43499.40,b1_OK
116.75,270.71,28,0.88,27767.23,b1_OK
116.72,393.70,11,0.98,44973.19,b1_OK
116.71,421.10,14,0.97,47606.67,b1_OK
116.66,731.72,46,0.69,58699.21,b1_REVISAR
116.43,714.27,80,0.16,13676.31,b1_REVISAR
116.42,290.62,30,0.86,29101.82,b1_OK
116.38,394.95,30,0.86,39707.52,b1_OK
116.37,386.34,109,-0.34,-15060.37,b1_REVISAR
116.33,348.71,28,0.88,35595.21,b1_OK
116.26,321.07,51,0.62,23135.46,b1_REVISAR
116.21,418.63,23,0.91,44496.97,b1_OK
116.20,557.21,46,0.69,44844.80,b1_REVISAR
116.14,270.09,83,0.11,3468.34,b1_REVISAR
116.12,269.92,29,0.87,27372.07,b1_OK
116.05,911.36,118,-0.48,-50405.01,b1_REVISAR
115.99,427.15,66,0.39,19449.77,b1_REVISAR
115.91,885.09,60,0.49,50622.44,b1_REVISAR
115.85,356.47,95,-0.10,-3934.56,b1_REVISAR
115.83,340.32,14,0.97,38221.15,b1_OK
115.83,452.31,32,0.84,44252.28,b1_OK
115.78,368.74,6,0.99,42416.63,b1_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
230,114,45,0.52532198881773,22310.6904132846,b2_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,45,0.52532198881773,2829.25421907594,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
133,25,30,0.154251449887584,3285.20515010877,b1_OK
